 Discount Band ,Units Sold, Manufacturing Price , Sale Price 
 None ,1618.5,$3.00 ,$20.00 
 None ,1321.0,$3.00 ,$20.00 
 None ,2178.0,$3.00 ,$15.00 
 None ,888.0,$3.00 ,$15.00 
 None ,2470.0,$3.00 ,$15.00 
 None ,1513.0,$3.00 ,$350.00 
 None ,921.0,$5.00 ,$15.00 
 None ,2518.0,$5.00 ,$12.00 
 None ,1899.0,$5.00 ,$20.00 
 None ,1545.0,$5.00 ,$12.00 
 None ,2470.0,$5.00 ,$15.00 
 None ,2665.5,$5.00 ,$125.00 
 None ,958.0,$5.00 ,$300.00 
 None ,2146.0,$5.00 ,$7.00 
 None ,345.0,$5.00 ,$125.00 
 None ,615.0,$5.00 ,$15.00 
 None ,292.0,$10.00 ,$20.00 
 None ,974.0,$10.00 ,$15.00 
 None ,2518.0,$10.00 ,$12.00 
